Device: Q-tag CLm doc LR
Vers: 1.9
Fw Vers: 4.7.04o
Device ID: 80
Sensor: 1
Conf:
 Serial: RCPJ00010
 PCB: 81622210000294
 CID: 351
 Lot: 26102012
 Zone: 0.00
 Start Delay: 30
 Max Transport: 0
 Moving Avrg: 1
 MKT Energy: 83.0
 Det Report: 11
 Display and Algorithm Options: 4
 Tol Within Limits: 1.0
 Tol Above Upper Limit: 0.5
 Tol Below Lower Limit: 0.5
 Batt Warning Limit: 2.5
 Temp Offset: 0.1
 User String 1:
 User String 2:
 User String 3:
 Restartable Options: 1
 Max Running Time: 365
 Logging Interval: 10
 Test Res: 1, Test TS: 2022-09-27 10:17
 Expired: 0
 TS Expected Exp: 2023-11-08 02:20
 Alarm:
  1:
   Type: 2, T AL: 8.0, t AL: 30
  2:
   Type: 4, T AL: 8.0, t AL: 60
  3:
   Type: 0
  4:
   Type: 3, T AL: 2.0, t AL: 60
  5:
   Type: 1, T AL: 2.0, t AL: 30
Res:
 TS Actv: 2022-11-08 02:20
 TS Start Trig: 2023-04-17 14:53
 Start Reason: 2
 TS Start: 2023-04-17 15:23
 TS Stop: 2023-04-20 13:59
 Transport: 3
 TS Batt Temp:
 TS Batt Crit:
 Min T: 9.7, TS Min T: 2023-04-18 03:53
 Max T: 12.7, TS Max T: 2023-04-17 15:23
 MKT: 10.4
 Avrg T: 10.4
 Run Number: 3
 Alarm:
  1:
   TS S: 2023-04-17 15:33, t A: 4226, TS A: 2023-04-17 16:03, TS E:, T M: 11.4, TS M: 2023-04-17 16:17
  2:
   TS S: 2023-04-17 15:33, t A: 4226, TS A: 2023-04-17 16:33
  4:
  5:
Marker:
	Number	T	yyyy-MM-dd hh:mm	
Data:
	yyyy-MM-dd hh:mm	T	Out of limits
	2023-04-19 22:33	10.6	x
	2023-04-19 22:43	10.6	x
	2023-04-19 22:53	10.5	x
	2023-04-19 23:03	10.6	x
	2023-04-19 23:13	10.6	x
	2023-04-19 23:23	10.4	x
	2023-04-19 23:33	10.5	x
	2023-04-19 23:43	10.6	x
	2023-04-19 23:53	10.3	x
	2023-04-20 00:03	10.3	x
	2023-04-20 00:13	10.4	x
	2023-04-20 00:23	10.3	x
	2023-04-20 00:33	10.2	x
	2023-04-20 00:43	10.3	x
	2023-04-20 00:53	10.3	x
	2023-04-20 01:03	10.1	x
	2023-04-20 01:13	10.2	x
	2023-04-20 01:23	10.3	x
	2023-04-20 01:33	10.1	x
	2023-04-20 01:43	10.1	x
	2023-04-20 01:53	10.2	x
	2023-04-20 02:03	10.2	x
	2023-04-20 02:13	10.1	x
	2023-04-20 02:23	10.2	x
	2023-04-20 02:33	10.3	x
	2023-04-20 02:43	10.2	x
	2023-04-20 02:53	10.1	x
	2023-04-20 03:03	10.2	x
	2023-04-20 03:13	10.2	x
	2023-04-20 03:23	10.1	x
	2023-04-20 03:33	10.2	x
	2023-04-20 03:43	10.3	x
	2023-04-20 03:53	10.2	x
	2023-04-20 04:03	10.2	x
	2023-04-20 04:13	10.3	x
	2023-04-20 04:23	10.4	x
	2023-04-20 04:33	10.1	x
	2023-04-20 04:43	10.1	x
	2023-04-20 04:53	10.2	x
	2023-04-20 05:03	10.3	x
	2023-04-20 05:13	10.2	x
	2023-04-20 05:23	10.2	x
	2023-04-20 05:33	10.4	x
	2023-04-20 05:43	10.3	x
	2023-04-20 05:53	10.2	x
	2023-04-20 06:03	10.4	x
	2023-04-20 06:13	10.3	x
	2023-04-20 06:23	10.2	x
	2023-04-20 06:33	10.2	x
	2023-04-20 06:43	10.4	x
	2023-04-20 06:53	10.2	x
	2023-04-20 07:03	10.2	x
	2023-04-20 07:13	10.3	x
	2023-04-20 07:23	10.3	x
	2023-04-20 07:33	10.1	x
	2023-04-20 07:43	10.2	x
	2023-04-20 07:53	10.3	x
	2023-04-20 08:03	10.3	x
	2023-04-20 08:13	10.2	x
	2023-04-20 08:23	10.2	x
	2023-04-20 08:33	10.4	x
	2023-04-20 08:43	10.2	x
	2023-04-20 08:53	10.2	x
	2023-04-20 09:03	10.4	x
	2023-04-20 09:13	10.4	x
	2023-04-20 09:23	10.3	x
	2023-04-20 09:33	10.4	x
	2023-04-20 09:43	10.6	x
	2023-04-20 09:53	10.4	x
	2023-04-20 10:03	10.5	x
	2023-04-20 10:13	10.7	x
	2023-04-20 10:23	10.6	x
	2023-04-20 10:33	10.6	x
	2023-04-20 10:43	10.7	x
	2023-04-20 10:53	10.5	x
	2023-04-20 11:03	10.4	x
	2023-04-20 11:13	10.6	x
	2023-04-20 11:23	10.6	x
	2023-04-20 11:33	10.5	x
	2023-04-20 11:43	10.7	x
	2023-04-20 11:53	10.6	x
	2023-04-20 12:03	10.5	x
	2023-04-20 12:13	10.6	x
	2023-04-20 12:23	10.7	x
	2023-04-20 12:33	10.7	x
	2023-04-20 12:43	10.9	x
	2023-04-20 12:53	10.8	x
	2023-04-20 13:03	10.8	x
	2023-04-20 13:13	10.9	x
	2023-04-20 13:23	10.7	x
	2023-04-20 13:33	10.7	x
	2023-04-20 13:43	10.8	x
	2023-04-20 13:53	10.6	x
Cert:
 Vers: 1.0
 Lot: 26102012
 Issuer: Qtag AG
 Valid from: 2012-10-29 07:07
 Owner: Qtag AG
 Public Key: 174c4c2d9c3c0b1eb01c2f2837db84239d75789ac6e0a0447f22dff558f37166830bdc7f710cb67078d680005abed6d15749aef1b1d828cea53cabca59ba8603
Sig Cert: 1c5530d70568a306d8769d0a288b6321f9360ed626d55f76c3d61675871d635525a0da75a8b598b1ec6b90829eb33ce41d5f94d553ed7e3a739aedc51d6a61d2
Sig: 85575b5049541adc08bf8a3d4ffc0fd198f56ed39a7552edaa7eda88b8185049b5788b0ce37f7cfe31932d80dea5d20ace186f97ac208700fed4570aa63fc9f0
